Pcode,Locality,State,Comments,Category,Longitude,Latitude
0200,"AUSTRALIAN NATIONAL UNIVERSITY",ACT,"PO BOXES","Post Office Boxes",,
0800,"DARWIN CITY",NT,,"Delivery Area",130.8434,-12.4633
0801,DARWIN,NT,"GPO BOXES","Post Office Boxes",,
0803,"WAGAIT BEACH",NT,"PO BOXES","Post Office Boxes",,
0804,PARAP,NT,"PO BOXES","Post Office Boxes",,
0810,ALAWA,NT,,"Delivery Area",130.8738,-12.3798
0810,BRINKIN,NT,,"Delivery Area",130.8659,-12.3656
0810,CASUARINA,NT,,"Delivery Area",130.8813,-12.3742
0810,"COCONUT GROVE",NT,,"Delivery Area",130.8491,-12.3960
0810,JINGILI,NT,,"Delivery Area",130.8720,-12.3892
0810,"LEE POINT",NT,,"Delivery Area",130.8880,-12.3363
0810,LYONS,NT,,"Delivery Area",130.8890,-12.3585
0810,MILLNER,NT,,"Delivery Area",130.8627,-12.3916
0810,MOIL,NT,,"Delivery Area",130.8816,-12.3894
0810,MUIRHEAD,NT,,"Delivery Area",130.8955,-12.3583
0810,NAKARA,NT,,"Delivery Area",130.8775,-12.3706
0810,NIGHTCLIFF,NT,,"Delivery Area",130.8408,-12.3902
0810,"RAPID CREEK",NT,,"Delivery Area",130.8482,-12.3718
0810,TIWI,NT,,"Delivery Area",130.8747,-12.3574
0810,WAGAMAN,NT,,"Delivery Area",130.8847,-12.3811
0810,WANGURI,NT,,"Delivery Area",130.8875,-12.3715
0811,CASUARINA,NT,"PO BOXES","Post Office Boxes",,
0812,ANULA,NT,,"Delivery Area",130.8905,-12.3902
0812,"BUFFALO CREEK",NT,,"Delivery Area",130.9177,-12.3481
0812,HOLMES,NT,,"Delivery Area",130.9239,-12.3876
0812,KARAMA,NT,,"Delivery Area",130.9155,-12.4003
0812,LEANYER,NT,,"Delivery Area",130.9036,-12.3677
0812,MALAK,NT,,"Delivery Area",130.9039,-12.3927
0812,MARRARA,NT,,"Delivery Area",130.8953,-12.3989
0812,WULAGI,NT,,"Delivery Area",130.8951,-12.3830
0813,KARAMA,NT,"PO BOXES","Post Office Boxes",,
0814,NIGHTCLIFF,NT,"PO BOXES","Post Office Boxes",,
0815,"CHARLES DARWIN UNIVERSITY",NT,"PO BOXES","Post Office Boxes",,
0820,BAYVIEW,NT,,"Delivery Area",130.8569,-12.4392
0820,"CHARLES DARWIN",NT,,"Delivery Area",,
0820,COONAWARRA,NT,,"Delivery Area",130.9072,-12.4340
0820,"DARWIN DC",NT,,"Delivery Area",,
0820,"EAST POINT",NT,,"Delivery Area",130.8255,-12.4083
0820,EATON,NT,,"Delivery Area",130.8822,-12.4107
0820,"FANNIE BAY",NT,,"Delivery Area",130.8366,-12.4275
0820,LARRAKEYAH,NT,,"Delivery Area",130.8250,-12.4553
0820,LUDMILLA,NT,,"Delivery Area",130.8467,-12.4117
0820,PARAP,NT,,"Delivery Area",130.8442,-12.4340
0820,"STUART PARK",NT,,"Delivery Area",130.8481,-12.4463
0820,"THE GARDENS",NT,,"Delivery Area",130.8316,-12.4463
0820,"THE NARROWS",NT,,"Delivery Area",130.8595,-12.4271
0820,WINNELLIE,NT,,"Delivery Area",130.8834,-12.4295
0820,WOOLNER,NT,,"Delivery Area",130.8505,-12.4349
0821,WINNELLIE,NT,"PO BOXES","Post Office Boxes",,
0822,"ACACIA HILLS",NT,,"Delivery Area",131.1419,-12.7703
0822,ANGURUGU,NT,,"Delivery Area",136.4613,-13.9802
0822,ANINDILYAKWA,NT,,"Delivery Area",136.5593,-13.9514
0822,"BATHURST ISLAND",NT,,"Delivery Area",,
0822,"BEES CREEK",NT,,"Delivery Area",131.0550,-12.5727
0822,BELYUEN,NT,,"Delivery Area",130.6831,-12.5381
0822,"BLACK JUNGLE",NT,,"Delivery Area",131.2104,-12.5213
0822,BLACKMORE,NT,,"Delivery Area",130.9212,-12.6955
0822,BURRUNDIE,NT,,"Delivery Area",131.8610,-13.3898
0822,BYNOE,NT,,"Delivery Area",130.6359,-12.7912
0822,"BYNOE HARBOUR",NT,,"Delivery Area",130.5335,-12.6362
0822,"CAMP CREEK",NT,,"Delivery Area",130.9346,-13.1857
0822,"CHANNEL ISLAND",NT,,"Delivery Area",130.8601,-12.5526
0822,"CHARLES DARWIN",NT,,"Delivery Area",130.8760,-12.4510
0822,CHARLOTTE,NT,,"Delivery Area",130.7940,-12.8444
0822,CLARAVALE,NT,,"Delivery Area",131.6560,-14.3680
0822,COBOURG,NT,,"Delivery Area",132.1604,-11.3341
0822,"COLLETT CREEK",NT,,"Delivery Area",130.9266,-12.9036
0822,"COOMALIE CREEK",NT,,"Delivery Area",131.1759,-13.0013
0822,"COX PENINSULA",NT,,"Delivery Area",130.7174,-12.5676
0822,DALY,NT,,"Delivery Area",131.2476,-12.7423
0822,"DALY RIVER",NT,,"Delivery Area",130.5195,-13.4289
0822,"DARWIN RIVER DAM",NT,,"Delivery Area",131.0445,-12.8959
0822,DOUGLAS-DALY,NT,,"Delivery Area",131.5256,-13.8592
0822,"EAST ARM",NT,,"Delivery Area",130.9014,-12.4774
0822,"EAST ARNHEM",NT,,"Delivery Area",135.7788,-12.6347
0822,ELRUNDIE,NT,,"Delivery Area",130.9409,-12.4891
0822,"EVA VALLEY",NT,,"Delivery Area",131.0034,-13.1315
0822,"FINNISS VALLEY",NT,,"Delivery Area",130.9517,-13.0644
0822,FLEMING,NT,,"Delivery Area",131.2967,-13.8520
